track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,song,text
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,Locked Out Of Heaven,"One, two, one, two, three  
  
Oh yeah yeah  
Oh yeah yeah yeah, uh!  
Oh yeah yeah  
Oh yeah yeah yeah, uh!  
  
Never had much faith in love or miracles (miracles) uh!  
Never wanna put my heart on the line, uh!  
But swimming in your world is something spiritual (spiritual) uh!  
I'm born again every time you spend the night, uh!  
  
Cause your sex takes me to paradise  
Yeah your sex takes me to paradise  
And it shows, yeah, yeah, yeah  
'Cause you make me feel like, I've been locked out of heaven  
For too long, for too long  
Yeah you make me feel like, I've been locked out of heaven  
For too long, for too long  
  
Oh yeah yeah yeah, uh!  
Oh yeah yeah  
Oh yeah yeah yeah, uh!  
  
You bring me to my knees  
You make me testify, uh!  
You can make a sinner change his ways, uh!  
Open up your gates cause I can't wait to see the light, uh!  
And right there is where I wanna stay, uh!  
  
Cause your sex takes me to paradise  
Yeah your sex takes me to paradise  
And it shows, yeah, yeah, yeah  
'Cause you make me feel like, I've been locked out of heaven  
For too long, for too long  
Yeah you make me feel like, I've been locked out of heaven  
For too long, for too long  
  
Oh oh oh oh, yeah, yeah, yeah  
Can I just stay here  
Spend the rest of my days here  
Oh oh oh oh, yeah, yeah, yeah  
Can't I just stay here  
Spend the rest of my days here  
  
'Cause you make me feel like, I've been locked out of heaven  
For too long, for too long  
Yeah you make me feel like, I've been locked out of heaven  
For too long, for too long  
  
Oh yeah yeah yeah, uh!  
Oh yeah yeah  
Oh yeah yeah yeah, uh!

"
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,Counting Stars,"Lately I've been, I've been losing sleep  
Dreaming about the things that we could be  
But baby I've been, I've been prayin' hard  
Said no more counting dollars  
We'll be counting stars  
Yeah, we'll be counting stars  
  
I see this life  
Like a swinging vine  
Swing my heart across the line  
In my faces flashing signs  
Seek it out and ye shall find  
  
Old, but I'm not that old  
Young, but I'm not that bold  
And I don't think the world is sold  
I'm just doing what we're told  
  
I feel something so right  
Doing the wrong thing  
I feel something so wrong  
Doing the right thing  
I could lie, could lie, could lie  
Everything that kills me makes me feel alive  
  
Lately I've been, I've been losing sleep  
Dreaming about the things that we could be  
Baby I've been, I've been prayin' hard  
Said no more counting dollars  
We'll be counting stars  
  
Lately I've been, I've been losing sleep  
Dreaming about the things that we could be  
But baby I've been, I've been prayin' hard  
Said no more counting dollars  
We'll be, we'll be counting stars  
  
I feel the love  
And I feel it burn  
Down this river every turn  
Hope is a four letter word  
Make that money  
Watch it burn  
Old, but I'm not that old  
Young, but I'm not that bold  
And I don't think the world is sold  
I'm just doing what we're told  
I, feel something so wrong  
Doing the right thing  
I could lie, could lie, could lie  
Everything that drowns me makes me wanna fly  
  
Lately I've been, I've been losing sleep  
Dreaming about the things that we could be  
Baby I been, I been prayin' hard  
Said no more counting dollars  
We'll be counting stars  
Lately I've been, I've been losing sleep  
Dreaming 'bout the things that we could be  
But baby I've been, I've been prayin' hard  
Said no more counting dollars  
We'll be, we'll be counting stars  
  
Take that money, watch it burn  
Sink in the river the lessons I learned  
  
Take that money, watch it burn  
Sink in the river the lessons I learned  
  
Take that money, watch it burn  
Sink in the river the lessons I learned  
  
Take that money, watch it burn  
Sink in the river the lessons I learned  
  
Everything that kills me makes me feel alive  
  
Lately I've been, I've been losing sleep  
Dreaming about the things that we could be  
Baby I've been, I've been prayin' hard  
Said no more counting dollars  
We'll be counting stars  
Lately I've been, I've been losing sleep  
Dreaming 'bout the things that we could be  
Baby I been, I been prayin' hard  
Said no more counting dollars  
We'll be, we'll be counting stars  
  
(Take that money and watch it burn)  
(Sink in the river the lessons I learned)  
  
(Take that money and watch it burn)  
(Sink in the river the lessons I learned)  
  
(Take that money and watch it burn)  
(Sink in the river the lessons I learned)  
  
(Take that money and watch it burn)  
(Sink in the river the lessons I learned)

"
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,Ghost,"Tell me there's no need to be afraid  
They're only shadows cast, past this place  
Where voices carry at the speed of sound  
If I should cry before they lay me down  
  
Sorry for the words, words I left unsaid  
Sorry being one of the words I did forget  
All the time we spent, wasted in the end  
Every precious moment taken for granted  
There in the corner of my mind  
Lies the weight of my regret  
Between the shadow and the light  
Ghost you're in my head  
  
Shelter from the storm when I sleep  
There's comfort in the morn, a siren sings  
If only for a moment, I can breathe  
The thought of you comes crashing through on me  
  
Sorry for the words, words I left unsaid  
Sorry being one of the words I did forget  
All the time we spent, wasted in the end  
Every precious moment taken for granted  
There in the corner of my mind  
Lies the weight of my regret  
Between the shadow and the light  
Ghost you're in my head  
Ghost you're in my head  
  
Tell me there's no need to be afraid  
They're only shadows cast past has played  
Where voices carry at the speed of sound  
If I should die before I lay me down  
  
I'm sorry for the way, the way I treated you  
A little bit too late, but if you only knew  
I'd take away the pain, pain I put you through  
I'd do it all again walking in your shoes  
  
There in the corner of my mind  
Lies the weight of my regret  
Between the shadow and the light  
Ghost you're in my head  
Ghost you're in my head

"
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,Enchanted,"[J. Cole]  
Yea, this is where the  
Yea, this is where the fathers aint living  
At least not with us  
Might see em round the city and won't even say wassup  
When n-ggas play tough, wont even smile in mirrors  
And we learn to f-ck hoes off trial and error  
Just a small time n-gga, big city hustle  
Glued to the tv, Jigga, Diddy, Russell  
These were our heroes, strictly for them zero's  
For that Robert Deniro, n-ggas reload on them kilo's  
Dodgin them people,  
Mad at myself cause I done seen some things that I'd rather not tell  
Shawty smole crack and her boyfriend too  
Sometimes he touch her daughter like them boyfriends do  
Pull up to the club where the boys went too  
See that yellow tape and the boys in blue  
A n-gga on a strecther and though I never met ya  
I'm thinking God Bless ya, they city try and get ya  
Man, don't let the city get ya  
F-ck the horoscopes, know the ropes lke a wrestler  
If them bullets wet ya bet ya momma need a tissue  
Your face on the front of our shirts saying we miss ya  
(We miss ya)  
  
Come with me,  
Run quick see, what do we have here  
Now, do you wanna ride or die  
La dadada, la la la la  
  
Come with me,  
Run quick see, what do we have here  
Now, do you wanna ride or die  
La dadada, la la la la  
  
[Omen]  
Yea, lets see God  
I know you only do what's best for me  
But is it cool if we negotiate my destiny  
They always tellin' me it's temporary  
Than why it's feelling like a cemetary  
My dreams aint got no obituaries  
My city hurting and none of us were equiped here  
You heard me say I was ballin'  
I probably make tears  
I'm trying to get clear  
I'm tryna quit fear  
Who wrote the scripts here  
These kids live there whole life just killing time  
Running the race with no finish line  
They tryna noose us with they ropes  
But I'm tryna climb  
I think my foolish pride might become my suicide  
But I aint tryna go, no baby  
And through these lines and quotes you gotta find some hope  
Cause I aint dying  
My words gon' last forever,  
You can hold the treasure  
Look inside you can see a diamond in my mind  
I'm tired of seeing dope fiends, wiping they nose clean  
Is my neighbourhood just a smoke screen  
I think I'm in the [?] I see lo green  
Sons raised by bo queens but there's no kings  
(No kings, no kings)  
  
[J. Cole Hook]  
Come with me,  
Run quick see, what do we have here  
Now, do you wanna ride or die  
La dadada, la la la la  
  
Come with me,  
Run quick see, what do we have here  
Now, do you wanna ride or die  
La dadada, la la la la  
  
[J. Cole Verse 3]  
It seems like n-ggas either feel ya or they try and kill ya  
I face the sky and hope to God aint acting unfamiliar  
You play whatever cards he deal no matter how peculiar  
They tell me that it's God's will, I'm asking God will ya  
Iller a n-gga from artist pain, momma smoking cocaine as it rains out  
Am I to blame, try to stay sane so I came out-side  
Where they rock with them thangs out  
To clear my mind at the same time they blew that boys brains out  
But will it change, it's like n-ggas is free but our minds still in the chains  
Brothers killing eachother, the blood spill it's a shame  
Will it ever slow up  
A lot of n-ggas getting older but they never grow up  
And do they son's like they fathers did and never show up  
Don't even cry about it, just another episode of life  
Watch the season n-gga no re-runs  
The devil buying soul's n-gga no refunds  
Man, don't let the city get ya  
F-ck the horoscopes know the ropes like a wrestler  
If them bullets wet ya bet ya momma need a tissue  
Your face on the front of our shirts screaming we miss ya  
Another day, another song, a mother prays  
Another gone  
But still we play like aint nothing wrong  
Like aint nothing wrong  
Cause aint nothing wrong  
I'm not as fast, I'm not as tall  
But before I pass  
I gotta ball  
I gotta ball  
I gotta ball  
N-gga I gotta ball

"
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,Sure Thing,"Baby why you want to waste your time  
On just a pretty face  
She changes guys with the mood of the day.  
Save yourself a heartache.  
Take a look  
I'm waiting in the wings  
A good long look  
Cause what you got comin' is a sure thing  
Sure thing  
One-hundred-percent guaranteed love that's true  
Just for you.  
No way your heart can lose.  
On a sure thing.  
  
Well I'm not gonna switch form hot to cold  
Play those little tricks you're always gonna know  
Just where you stand  
I'll be on your right hand.  
You won't miss those run-around flings  
Make your wish  
Cause what you got comin' is a sure thing  
Sure thing  
One-hundred-percent guaranteed love that's true  
Just for you.  
No way your heart can lose.  
On a sure thing.  
  
I'm not putting my hopes on a might or maybe  
But one plus one would make a wild pair  
Whaddaya say?  
Baby  
What you got comin' is a  
  
Sure thing  
Sure thing  
One-hundred-percent guaranteed love that's true  
Just for you.  
No way your heart can lose.  
On a sure thing.  
  
What you got comin' is a sure thing.  
You and me baby is a sure thing.  
Sure thing  
Sure thing.

"
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,We Found Love,"Yellow diamonds in the light  
And we're standing side by side  
As your shadow crosses mine  
What it takes to come alive  
  
It's the way I'm feeling I just can't deny  
But I've gotta let it go  
  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
  
Shine a light through an open door  
Love and life I will divide  
Turn away cause I need you more  
Feel the heartbeat in my mind  
  
It's the way I'm feeling I just can't deny  
But I've gotta let it go  
  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place

"
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,When I Was Your Man,"Same bed but it feels just a little bit bigger now  
Our song on the radio but it doesn't sound the same  
When our friends talk about you, all it does is just tear me down  
'Cause my heart breaks a little when I hear your name  
  
It all just sounds like ooh, ooh ooh hoo hoo  
Mm, too young, too dumb to realize  
That I should have bought you flowers  
And held your hand  
Should have given you all my hours  
When I had the chance  
Take you to every party 'cause all you wanted to do was dance  
  
Now my baby's dancing  
But she's dancing with another man  
  
My pride, my ego, my needs, and my selfish ways  
Caused a good strong woman like you to walk out my life  
Now I never, never get to clean up the mess I made, oh  
And it haunts me every time I close my eyes  
  
It all just sounds like ooh, ooh ooh ooh ooh  
Mm, too young, too dumb to realize  
That I should have bought you flowers  
And held your hand  
Should have given you all my hours  
When I had the chance  
Take you to every party 'cause all you wanted to do was dance  
  
Now my baby's dancing  
But she's dancing with another man  
  
Although it hurts  
I'll be the first to say that I was wrong  
Oh, I know I'm probably much too late  
To try and apologize for my mistakes  
But I just want you to know  
  
I hope he buys you flowers  
I hope he holds your hand  
Give you all his hours  
When he has the chance  
Take you to every party  
'Cause I remember how much you loved to dance  
Do all the things I should have done  
When I was your man  
Do all the things I should have done  
When I was your man

"
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,Demons,"Another day in the life of a stranger  
Surrounded by four walls that can't be seen  
He knows this dude that lives uptown and he delivers  
He often calls him for that perfect dream  
But oh, he's got his demons  
And they stay right by his side  
Through his everyday hell, yeah  
  
He loves his wine and his pretty women  
He buys them everything just to stay around  
He's got it made cause his daddy's got a bundle  
He seldom reaches out but there's no one to be found  
Except oh, he's still got them demons  
And they stay right by his side  
In his man-made hell  
  
Oh, he's got his demons  
And they by his side  
Another dar in the life of the lonely  
All alone in a sold out crowd  
He can always buy some cheap thrills with his money  
His world of silence has become much too loud  
But ho, don't forget them demons  
They're still right by his side  
Causing all kinds of hell, yeah

"
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,Reminder,"Celebrate, don't be late  
Finish what's on your plate  
Be the change you wanna see  
Seek the truth, set it free  
  
And I wanna tell you  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
  
Why does time move so fast?  
Precious things never last  
Figure out, don't forget  
Only love, no regrets  
  
And I gotta tell you  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
  
All of the things you never noticed  
All of the lines you cling to that don't mean a thing  
All of the dates that you were late for  
All of the rounds you should've paid for  
  
And I wanna tell you  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder  
This is a reminder

"
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,Shake It Off,"[Chorus]  
I gotta shake you off  
'Cause the loving ain't the same  
And you keep on playing games  
Like you know I'm here to stay  
I gotta shake it off  
Just like the Calgon commercial  
I really gotta get up outta here  
And go somewhere  
I gotta shake it off  
Gotta make that move  
Find somebody who  
Appreciates all the love I give  
Boy I gotta shake it off  
Gotta do what's best for me  
Baby and that means I gotta  
Shake you off  
  
By the time you get this message  
It's gonna be too late  
So don't bother paging me  
Cause I'll be on my way  
See I grabbed all my diamonds and clothes  
Just ask your momma she knows  
You're gonna miss me baby  
Hate to say ""I told you so""  
Well at first I didn't know  
But now it's clear to me  
You would cheat with all your freaks  
And lie compulsively  
So I packed up my Louis Vuitton  
Jumped in your ride and took off  
You'll never ever find a girl  
Who loves you more than me  
  
[Chorus]  
  
I gotta, shake, shake, shake, shake, shake it  
Off, shake, shake, shake, shake, shake it  
(Gotta shake it off) off, shake, shake, shake, shake,  
Shake it off, shake, shake, shake, shake,shake it off  
  
I found out about a gang  
Of your dirty little deeds  
With this one and that one  
By the pool, on the beach, in the streets  
Heard y'all was  
Hold up my phone's breakin' up  
I'ma hang up and call the machine right back  
I gotta get this off of my mind  
You wasn't worth my time  
so I'm leaving you behind  
Cause I need a real love in my life  
Save this recording because  
I'm never coming back home  
Baby I'm gone  
Don't cha know  
  
[Chorus]  
  
I gotta, shake, shake, shake, shake, shake it  
Off, shake, shake, shake, shake, shake it  
(Gotta shake it off) off, shake, shake, shake, shake,  
Shake it off, shake, shake, shake, shake,shake it off  
  
[Chorus]

"
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4,Creep,"When you were here before  
Couldn't look you in the eye  
You're just like an angel  
Your skin makes me cry  
  
You float like a feather  
In a beautiful world  
And I wish I was special  
You're so fuckin' special  
  
But I'm a creep, I'm a weirdo.  
What the hell am I doing here?  
I don't belong here.  
  
I don't care if it hurts  
I want to have control  
I want a perfect body  
I want a perfect soul  
  
I want you to notice  
When I'm not around  
You're so fuckin' special  
I wish I was special  
  
But I'm a creep, I'm a weirdo.  
What the hell am I doing here?  
I don't belong here.  
  
She's running out again,  
She's running out  
She's run run run run  
  
Whatever makes you happy  
Whatever you want  
You're so fuckin' special  
I wish I was special  
  
But I'm a creep, I'm a weirdo,  
What the hell am I doing here?  
I don't belong here.  
I don't belong here.

"
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3,Apocalypse,"Intro:  
  
  
Yeah, I was looking out my window  
  
when i heard this sound  
  
look up into the sky  
  
saw the moon turned to blood  
  
looked at my little brother  
  
said, ""you high as hell maaan""  
  
  
Chorus:  
  
  
Apocalypse..  
  
1,2 the headlines youths just rolled through  
  
Apocalypse..  
  
3,4 solder, 100 horsemen at your door  
  
Apocalypse..  
  
5,6 you wanted dead or alive, hit or miss  
  
We we y'all, yeah, we we y'all  
  
  
Verse One:  
  
  
Arrival of the Carnival  
  
New beats, I never recycle  
  
While your looking for samples  
  
You might get trampled  
  
Surprise, hey  
  
I'm back with lightning and thunder  
  
I heard you over saying that i was a one year wonder  
  
You dumb or some, i went to refugees  
  
Silly felony, when i'm done  
  
Collect royalty from record company's  
  
Clouds getting darker  
  
Suns getting nearer  
  
I'll turn a atheist into a god fearing believer  
  
The back of a building  
  
Your body's found by children  
  
Playin' hide go seek  
  
All we found was his skeleton  
  
In the back of a car  
  
You spawned with the wrong guard  
  
You know my empire strikes back hard  
  
Listen hard, war  
  
This is the day after action  
  
Projects, cannons  
  
Being launched at the palace  
  
Vision, revelation  
  
Sky know apocalypse  
  
Enemy pilots kamikaze into the abyss  
  
  
Chorus:  
  
  
Apocalypse..  
  
1,2 the headlines youths just rolled through  
  
Apocalypse..  
  
3,4 solder, 100 horsemen at your door  
  
Apocalypse..  
  
5,6 you wanted dead or alive, hit or miss  
  
We we y'all, yeah, we we y'all, yeah, we we y'all  
  
  
Verse Two:  
  
  
Aiyyo, Back on earth  
  
The party is in the tunnel  
  
On the west side of the river  
  
Went mad quiver  
  
Rats get fed to the alligator  
  
Gun blast equivalent to the bombs in pearl harbor  
  
Rescue choppers broke the turn to hiroshima  
  
I'm driving to jersey to escape the terror  
  
I was on the highway pushing a black viper  
  
A car pulls up, is he a jack or a sniper (sniper)  
  
A blue range rover, he says pull over  
  
I didn't know he was a DT undercover  
  
I screamed out my lungs  
  
This is discrimination!  
  
He tried, he said you just robbed a gas station  
  
Who me? not me! it couldn't be  
  
I was in the Grammys with Brandy  
  
Didn't you see me on tv?  
  
Bullshit, y'all all in the same game  
  
He tried to run me off the road  
  
Like he was rosco, rico or dre  
  
I stayed calm, gave him a hell of a show  
  
Cause when its time to go  
  
All i gotta press is turbo  
  
Heard it on his walkie, road block on 280 west  
  
Things got serious, that's when i bust a left  
  
you-Turn, my eyes burned  
  
My concern was a truck coming  
  
Head on collision within a chase position  
  
Close one, i almost went up in a blaze  
  
Running from what appears to be a masquerade  
  
Least that what i thought, it was all in my mind  
  
Reality stuck when i got to the borderline  
  
The headline reads every ghettos sad story  
  
A rookie shoots a boy over mistaken identity...  
  
(crash)  
  
  
Chorus repeat (2X)  
  
not, the record (fades out)

"
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,Circles,"Got me going in circles c-circles  
My heart is dizzy from you  
Got me going in circles c-circles  
Tell me what I'm supposed to do  
You got me up at night  
Feeling like  
You won't come thru  
Got me going in circles c-circles  
My heart is dizzy from you  
Round and are-are-are-round we go (x2)  
Round and are-are-are-round  
I'm goin' in circles c-circles  
Please girl!  
  
I give you everything, but, it's not enough  
You started being easy but lately you've made it rough (for us)  
You say you need me but then turn me away  
Got me oh so confused, should I leave or should I stay?  
(Baby tell me what you want) Alittle more time  
(Baby tell me what you need) Baby all your love  
(How far you tryna go?) All the way  
(Girl I just don't know) Make up your mind  
  
Got me going in circles c-circles  
My heart is dizzy from you  
Got me going in circles c-circles  
Tell me what I'm supposed to do  
You got me up at night  
Feeling like  
You won't come thru  
Got me going in circles c-circles  
My heart is dizzy from you  
Round and are-are-are-round we go (x2)  
Round and are-are-are-round  
I'm goin' in circles c-circles  
Please girl!  
  
Got me going in circles c-circles  
My heart is dizzy from you  
Got me going in circles c-circles  
Tell me what I'm supposed to do  
You got me up at night  
Feeling like  
You won't come thru  
Got me going in circles c-circles  
My heart is dizzy from you  
Round and are-are-are-round we go (x2)  
Round and are-are-are-round  
I'm goin' in circles c-circles  
Please girl!  
  
Got me going in circles c-circles  
My heart is dizzy from you  
Got me going in circles c-circles  
Tell me what I'm supposed to do  
You got me up at night  
Feeling like  
You won't come thru  
Got me going in circles c-circles  
My heart is dizzy from you  
Round and are-are-are-round we go (x2)  
Round and are-are-are-round  
I'm goin' in circles c-circles  
Please girl!

"
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,Just The Way You Are,"Her eyes, her eyes  
Make the stars look like they're not shining  
Her hair, her hair  
Falls perfectly without her trying  
She's so beautiful  
And I tell her everyday (yeah)  
  
I know, I know  
When I compliment her she won't believe me  
And it's so, it's so  
Sad to think that she don't see what I see  
But every time she asks me ""Do I look okay?""  
I say,  
  
When I see your face  
There's not a thing that I would change  
'Cause you're amazing  
Just the way you are  
And when you smile  
The whole world stops and stares for a while  
'Cause girl you're amazing  
Just the way you are  
  
Her lips, her lips  
I could kiss them all day if she'd let me  
Her laugh, her laugh  
She hates but I think it's so sexy  
She's so beautiful  
And I tell her everyday  
  
Oh you know, you know, you know  
I'd never ask you to change  
If perfect's what you're searching for  
Then just stay the same  
So don't even bother asking if you look okay  
You know I'll say,  
  
When I see your face  
There's not a thing that I would change  
'Cause you're amazing  
Just the way you are  
And when you smile  
The whole world stops and stares for a while  
'Cause girl you're amazing  
Just the way you are  
  
The way you are  
The way you are  
Girl you're amazing  
Just the way you are, yeah  
  
When I see your face  
There's not a thing that I would change  
'Cause you're amazing  
Just the way you are  
And when you smile  
The whole world stops and stares for a while  
'Cause girl you're amazing  
Just the way you are

"
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,Obsessed,"Why do I just lie awake and think of you?  
I need some sleep.  
Tomorrow I have things to do.  
Every time I close my eyes I see your face,  
So I try to read, but all I do is lose my place.  
  
[Chorus]  
Am I obsessed with you?  
I do my best not to want you.  
But I do all the time.  
I do all the time.  
  
I just had to call you up and say hello.  
I know it's three a.m.  
And I saw you awhile ago.  
But I still had this aching need to hear your voice  
To know your there  
I don't seem to have any choice.  
  
[Chorus]  
  
Oh yeah.  
I'm so sorry I just had to wake you up.  
I feel so lonely by myself.  
Is this the way it feels when you're in love?  
Or is this something else?  
Yeah  
  
Yeah  
  
[Chorus]  
  
Oh yeah  
But I do all the time, I want you all the time.  
Am I obsessed with you?

"
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,Eyes Closed,"And I can see it with my eyes closed, now  
Feeling like my life froze  
I'm about to hit the ground  
  
I sold my soul to the devil that's a crappy deal  
Least it came with a few toys like a happy meal  
This game you could never win  
Cause they love you then they hate you then they love you again  
Get away from me misery  
Get away from me lonliness  
Get away from me fake bitches, I can't take the phoniness  
Get away from me wack tracks  
I can only make only hits  
I'm an only child lost in the World  
Where did the lonely kids go when the bell ring  
It's Feeling like hell rings  
Bringing me back down  
Checking my background  
It's ironic what's happening  
Imagine if I didn't have the ends  
I would'nt have so many imaginary friends  
I'm spaced out Dog, I be on that Moon talk  
Wonder if God ask Mike how to moon walk  
I swear to momma wish me and my father talk more  
I stopped visiting around the time I was a sophmore  
I guess everything I hate about me I see in him  
And we ain't finna change, so we'll never agree again  
Till then I'll be pouring out my soul  
Just a few things I see with my eyes closed  
  
And I can see it with my eyes closed, now  
Feeling like my life froze  
I'm about to hit the ground  
  
I sold my soul to the devil,  
I know it's a crappy deal,  
At least it came with a few toys,  
Like a Happy Meal,  
I'm spaced out dog,  
I be on that moontalk,  
I wonder if God asked Mike how to Moonwalk?  
You know the entertainment Angels  
Adriana for Giselle,  
Lets exchange Angels  
Photoshoot at my crib,  
Lets exchange angles  
Rockin nothin but them Tom Benz bangles,  
I'm so anxious I'm gettin anxiety  
Begging one of these f-ckin fashion houses to hire me,  
They say I've been an asshole,  
I said if you acquire me,  
I can be a quiet me, call it verbal dieting  
Give me your herbal chai tea  
I'll be calm as Tai Chi  
With a bad white bitch like Ice-T  
I'm not right dog, I'm slightly off,  
I'm Paranoid Like bonin' Raw dog  
And wakin up with a slight cough  
Yea, that'll make ya dick quite soft  
Plus my neck hurt too lemme take all this ice off  
Never meant to hurt you, I should've had nights off  
But it cost too much to live and I never took the price off

"
Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,Normal,"The waves that silences break come again,  
One by one  
I lay awake and I count til I drown  
Turn off the room, it's getting too loud,  
I know I don't have to say it,  
Pick up and move and go find some new ground,  
Somewhere I know I can make it  
  
But I won't give up,  
When I want it enough,  
No I won't give up,  
Anything, anyway, anyone, anyday  
'Cause I've figured it out,  
Here and the now,  
Takes me day by day  
  
Hey, will you come out tonight?  
Will you back down will you put up a fight?  
Turn me around and make eveything right,  
Make me normal, from now on  
  
Erased every one I've replaced  
In the end, they're all gone,  
The faces all fade as the time passes by  
What could I do I was waiting for you,  
Grown sick and tired of faking,  
Give me those eyes when I give you the truth,  
Finally here for the taking  
  
But I won't give up,  
When I want it enough,  
No I won't give up,  
Anything, anyway, anyone, anyday  
Cause I've figured it out,  
Here and the now,  
Takes me day by day  
  
[Repeat: x2]  
Hey, will you come out tonight?  
Will you back down will you put up a fight?  
Turn me around and make eveything right,  
Make me normal, from now on  
  
Figured it out,  
Here and the now,  
Takes me day by day  
  
[Repeat: x2]  
Hey, will you come out tonight?  
Will you back down will you put up a fight?  
Turn me around and make everything right,  
Make me normal, from now on  
  
Make me normal, from now on  
Make me normal, from now on  
Make me normal, from now on

"
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,Bad Habit,"Hey man you know I'm really okay  
The gun in my hand will tell you the same  
But when I'm in my car  
Don't give me no crap  
  
'Cause the slightest thing and I just might snap  
When I go driving I stay in my lane  
But getting cut off makes me insane  
I open the glove box  
  
Reach inside  
I'm gonna wreck this fucker's ride  
I guess I got a bad habit  
And it ain't goin' away Yeah  
  
Well they say the road's a dangerous place  
If you flip me off I'm the danger you'll face  
You drive on my ass  
You're foot's on the gas  
  
And your next breath is your last  
Drivers are rude  
Such attitudes  
But when I show my piece  
  
Complaints cease  
Something's odd  
I feel like I'm God  
You stupid dumb shit god damn mother fucker  
  
I open the glove box  
Reach inside  
I'm gonna wreck this fucker's ride

"
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,69,"Dick meets jane and a fire starts  
Jane leaves dick and it breaks his heart  
Dick asked jane, ""why'd you leave me? ""  
""cause you're not dangerous, rough or sleazy""  
  
Now dick's dangerous  
Now dick's rough  
Now dick's sleazy  
Nice guy dick don't live here anymore  
Dick bought a swanky love pad down by the shore  
  
Chorus  
He's going prime time  
Online  
69  
  
All the girls come around to get dick  
They all adore him now 'cause he acts like a prick  
Each one tries to tie dick down  
Dick never falls in love, on the girls start coming 'round  
Dick don't fall for their sweetness  
He knows their weakness  
Dick knows a secret  
Secret is dick leased himself a nice car  
Girls like car  
Girls like dick  
Dick scores  
  
Chorus  
Solo  
  
Suddenly jane wants back in dick's life  
'cause jane hears dick's a popular guy  
Jane looks good, dick takes her home  
Dick kicks hers out after he gets his bone  
  
Now jane wants him  
Now jane needs him  
Now jane loves him  
Jane loves dick now that she got the heave ho  
Jane got what she wanted  
Dick ain't a nice guy no more  
  
Chorus  
  
Spoken by woman: but I want dick!  
  
Solo

"
